Code,Title,Description,Related Job Titles,Tasks
11,Corporate managers and directors,"Job holders in this sub-major group formulate government policy; direct the operations of major organisations, local government, government departments and special interest organisations organise; and direct production, processing, maintenance and construction operations in industry; formulate, implement and advise on specialist functional activities within organisations; direct the operations of branches of financial institutions; organise and co-ordinate the transportation of passengers, the storage and distribution of freight, and the sale of goods; direct the operations of the emergency services, revenue and customs, the prison service and the armed forces; and co-ordinate the provision of health and social services."
12,Other managers and proprietors,"Job holders in this sub-major group, either as employees or proprietors, manage agriculture related services; manage and co-ordinate the operations of health service general practices, residential and day care establishments and domiciliary care services; co-ordinate and direct the activities of businesses such as restaurants, hotels, entertainment establishments, sports and leisure facilities, travel and property agencies, independent shops, garages, waste disposal and environmental services, hairdressing establishments, the creative industries, betting and gambling establishments, hire services, consultancy services and agencies providing services outsourced by other organisations."
21,"Science, research, engineering and technology professionals","Professionals in this sub-major group undertake research and consultancy activities within the physical and social sciences and in the humanities; technically supervise the development, installation and maintenance of mechanical, chemical, structural and electrical systems; advise upon and direct the technical aspects of production programmes; provide consultancy and development services in the provision and utilisation of information technology; direct and advise upon the conservation and protection of the environment; design and develop websites, use illustrative, sound, visual and multimedia techniques in marketing, film, computer games and other areas, and direct and advise upon the research and development operations of an organisation."
22,Health professionals,"Health professionals provide medical treatments and diagnosis for people and animals, conduct research into treatment and drugs, dispense pharmaceutical compounds, provide therapeutic treatments for medical conditions, and administer nursing and midwifery care."
23,Teaching and other educational professionals,"Teaching and educational professionals plan, organise and undertake teaching and research activities within educational establishments and plan, organise, direct and co-ordinate the administrative work and financial resources of these establishments."
24,"Business, media and public service professionals","Jobholders in this sub-major group advise and act on behalf of clients in legal matters, preside over judicial proceedings, collect and analyse financial information, perform accounting duties, advise on business and management matters, and perform a variety of other professional occupations within the public, welfare, regulatory and voluntary sectors, and within the media."
31,"Science, engineering and technology associate professionals","Science, engineering and technology associate professionals perform a variety of technical support functions to scientists, biomedical technologists, engineers architects, Chartered architectural technologists prepare technical drawings, undertake building inspections, provide technical support for IT operations and users."
32,Health and social care associate professionals,"Health and social care associate professionals provide a variety of technical support functions and services for health professionals in the treatment of patients to assist physical and psychological recovery, assist teachers in the education of young people, and provide social care and related community services."
33,Protective service occupations,"Workers in protective service occupations serve in the armed forces, the police force, fire service, prison service and perform other protective service roles."
34,"Culture, media and sports occupations","Workers in this sub-major group create and restore artistic works; write, edit and evaluate literary material; perform in acts of entertainment; arrange and perform musical compositions; produce television, film and stage presentations; present television and radio broadcasts; operate camera, sound and lighting equipment; design commercial and industrial products; compete in sporting events for financial reward; and provide training and instruction for sporting and recreational activities."
