Group,Code,Title,Description
Minor,11-1000,Top Executives,
Minor,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",
Minor,11-3000,Operations Specialties Managers,
Minor,11-9000,Other Management Occupations,
Minor,13-1000,Business Operations Specialists,
Minor,13-2000,Financial Specialists,
Minor,15-1200,Computer Occupations,
Minor,15-2000,Mathematical Science Occupations,
Minor,17-1000,"Architects, Surveyors, and Cartographers",
Minor,17-2000,Engineers,
Minor,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",
Minor,19-1000,Life Scientists,
Minor,19-2000,Physical Scientists,
Minor,19-3000,Social Scientists and Related Workers,
Minor,19-4000,"Life, Physical, and Social Science Technicians",
Minor,19-5000,Occupational Health and Safety Specialists and Technicians,
Minor,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",
Minor,21-2000,Religious Workers,
Minor,23-1000,"Lawyers, Judges, and Related Workers",
Minor,23-2000,Legal Support Workers,
Minor,25-1000,Postsecondary Teachers,
Minor,25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",
Minor,25-3000,Other Teachers and Instructors,
Minor,25-4000,"Librarians, Curators, and Archivists",
Minor,25-9000,Other Educational Instruction and Library Occupations,
Minor,27-1000,Art and Design Workers,
Minor,27-2000,"Entertainers and Performers, Sports and Related Workers",
Minor,27-3000,Media and Communication Workers,
Minor,27-4000,Media and Communication Equipment Workers,
Minor,29-1000,Healthcare Diagnosing or Treating Practitioners,
Minor,29-2000,Health Technologists and Technicians,
Minor,29-9000,Other Healthcare Practitioners and Technical Occupations,
Minor,31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",
Minor,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,
Minor,31-9000,Other Healthcare Support Occupations,
Minor,33-1000,Supervisors of Protective Service Workers,
Minor,33-2000,Firefighting and Prevention Workers,
Minor,33-3000,Law Enforcement Workers,
Minor,33-9000,Other Protective Service Workers,
Minor,35-1000,Supervisors of Food Preparation and Serving Workers,
Minor,35-2000,Cooks and Food Preparation Workers,
Minor,35-3000,Food and Beverage Serving Workers,
Minor,35-9000,Other Food Preparation and Serving Related Workers,
Minor,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,
Minor,37-2000,Building Cleaning and Pest Control Workers,
Minor,37-3000,Grounds Maintenance Workers,
Minor,39-1000,Supervisors of Personal Care and Service Workers,
Minor,39-2000,Animal Care and Service Workers,
Minor,39-3000,Entertainment Attendants and Related Workers,
Minor,39-4000,Funeral Service Workers,
Minor,39-5000,Personal Appearance Workers,
Minor,39-6000,"Baggage Porters, Bellhops, and Concierges",
Minor,39-7000,Tour and Travel Guides,
Minor,39-9000,Other Personal Care and Service Workers,
Minor,41-1000,Supervisors of Sales Workers,
Minor,41-2000,Retail Sales Workers,
Minor,41-3000,"Sales Representatives, Services",
Minor,41-4000,"Sales Representatives, Wholesale and Manufacturing",
Minor,41-9000,Other Sales and Related Workers,
Minor,43-1000,Supervisors of Office and Administrative Support Workers,
Minor,43-2000,Communications Equipment Operators,
Minor,43-3000,Financial Clerks,
Minor,43-4000,Information and Record Clerks,
Minor,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",
Minor,43-6000,Secretaries and Administrative Assistants,
Minor,43-9000,Other Office and Administrative Support Workers,
Minor,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",
Minor,45-2000,Agricultural Workers,
Minor,45-3000,Fishing and Hunting Workers,
Minor,45-4000,"Forest, Conservation, and Logging Workers",
Minor,47-1000,Supervisors of Construction and Extraction Workers,
Minor,47-2000,Construction Trades Workers,
Minor,47-3000,"Helpers, Construction Trades",
Minor,47-4000,Other Construction and Related Workers,
Minor,47-5000,Extraction Workers,
Minor,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",
Minor,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",
Minor,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",
Minor,49-9000,"Other Installation, Maintenance, and Repair Occupations",
Minor,51-1000,Supervisors of Production Workers,
Minor,51-2000,Assemblers and Fabricators,
Minor,51-3000,Food Processing Workers,
Minor,51-4000,Metal Workers and Plastic Workers,
Minor,51-5100,Printing Workers,
Minor,51-6000,"Textile, Apparel, and Furnishings Workers",
Minor,51-7000,Woodworkers,
Minor,51-8000,Plant and System Operators,
Minor,51-9000,Other Production Occupations,
Minor,53-1000,Supervisors of Transportation and Material Moving Workers,
Minor,53-2000,Air Transportation Workers,
Minor,53-3000,Motor Vehicle Operators,
Minor,53-4000,Rail Transportation Workers,
Minor,53-5000,Water Transportation Workers,
Minor,53-6000,Other Transportation Workers,
Minor,53-7000,Material Moving Workers,
Minor,55-1000,Military Officer Special and Tactical Operations Leaders,
Minor,55-2000,First-Line Enlisted Military Supervisors,
Minor,55-3000,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,
