Group,Code,Title,Description
Broad,11-1010,Chief Executives,
Broad,11-1020,General and Operations Managers,
Broad,11-1030,Legislators,
Broad,11-2010,Advertising and Promotions Managers,
Broad,11-2020,Marketing and Sales Managers,
Broad,11-2030,Public Relations and Fundraising Managers,
Broad,11-3010,Administrative Services and Facilities Managers,
Broad,11-3020,Computer and Information Systems Managers,
Broad,11-3030,Financial Managers,
Broad,11-3050,Industrial Production Managers,
Broad,11-3060,Purchasing Managers,
Broad,11-3070,"Transportation, Storage, and Distribution Managers",
Broad,11-3110,Compensation and Benefits Managers,
Broad,11-3120,Human Resources Managers,
Broad,11-3130,Training and Development Managers,
Broad,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",
Broad,11-9020,Construction Managers,
Broad,11-9030,Education and Childcare Administrators,
Broad,11-9040,Architectural and Engineering Managers,
Broad,11-9050,Food Service Managers,
Broad,11-9070,Entertainment and Recreation Managers,
Broad,11-9080,Lodging Managers,
Broad,11-9110,Medical and Health Services Managers,
Broad,11-9120,Natural Sciences Managers,
Broad,11-9130,Postmasters and Mail Superintendents,
Broad,11-9140,"Property, Real Estate, and Community Association Managers",
Broad,11-9150,Social and Community Service Managers,
Broad,11-9160,Emergency Management Directors,
Broad,11-9170,Personal Service Managers,
Broad,11-9190,Miscellaneous Managers,
Broad,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",
Broad,13-1020,Buyers and Purchasing Agents,
Broad,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",
Broad,13-1040,Compliance Officers,
Broad,13-1050,Cost Estimators,
Broad,13-1070,Human Resources Workers,
Broad,13-1080,Logisticians and Project Management Specialists,
Broad,13-1110,Management Analysts,
Broad,13-1120,"Meeting, Convention, and Event Planners",
Broad,13-1130,Fundraisers,
Broad,13-1140,"Compensation, Benefits, and Job Analysis Specialists",
Broad,13-1150,Training and Development Specialists,
Broad,13-1160,Market Research Analysts and Marketing Specialists,
Broad,13-1190,Miscellaneous Business Operations Specialists,
Broad,13-2010,Accountants and Auditors,
Broad,13-2020,Property Appraisers and Assessors,
Broad,13-2030,Budget Analysts,
Broad,13-2040,Credit Analysts,
Broad,13-2050,Financial Analysts and Advisors,
Broad,13-2060,Financial Examiners,
Broad,13-2070,Credit Counselors and Loan Officers,
Broad,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",
Broad,13-2090,Miscellaneous Financial Specialists,
Broad,15-1210,Computer and Information Analysts,
Broad,15-1220,Computer and Information Research Scientists,
Broad,15-1230,Computer Support Specialists,
Broad,15-1240,Database and Network Administrators and Architects,
Broad,15-1250,"Software and Web Developers, Programmers, and Testers",
Broad,15-1290,Miscellaneous Computer Occupations,
Broad,15-2010,Actuaries,
Broad,15-2020,Mathematicians,
Broad,15-2030,Operations Research Analysts,
Broad,15-2040,Statisticians,
Broad,15-2050,Data Scientists,
Broad,15-2090,Miscellaneous Mathematical Science Occupations,
Broad,17-1010,"Architects, Except Naval",
Broad,17-1020,"Surveyors, Cartographers, and Photogrammetrists",
Broad,17-2010,Aerospace Engineers,
Broad,17-2020,Agricultural Engineers,
Broad,17-2030,Bioengineers and Biomedical Engineers,
Broad,17-2040,Chemical Engineers,
Broad,17-2050,Civil Engineers,
Broad,17-2060,Computer Hardware Engineers,
Broad,17-2070,Electrical and Electronics Engineers,
Broad,17-2080,Environmental Engineers,
Broad,17-2110,"Industrial Engineers, Including Health and Safety",
Broad,17-2120,Marine Engineers and Naval Architects,
Broad,17-2130,Materials Engineers,
Broad,17-2140,Mechanical Engineers,
Broad,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",
Broad,17-2160,Nuclear Engineers,
Broad,17-2170,Petroleum Engineers,
Broad,17-2190,Miscellaneous Engineers,
Broad,17-3010,Drafters,
Broad,17-3020,"Engineering Technologists and Technicians, Except Drafters",
Broad,17-3030,Surveying and Mapping Technicians,
Broad,19-1010,Agricultural and Food Scientists,
Broad,19-1020,Biological Scientists,
Broad,19-1030,Conservation Scientists and Foresters,
Broad,19-1040,Medical Scientists,
Broad,19-1090,Miscellaneous Life Scientists,
Broad,19-2010,Astronomers and Physicists,
Broad,19-2020,Atmospheric and Space Scientists,
Broad,19-2030,Chemists and Materials Scientists,
Broad,19-2040,Environmental Scientists and Geoscientists,
Broad,19-2090,Miscellaneous Physical Scientists,
Broad,19-3010,Economists,
Broad,19-3020,Survey Researchers,
Broad,19-3030,Psychologists,
Broad,19-3040,Sociologists,
Broad,19-3050,Urban and Regional Planners,
Broad,19-3090,Miscellaneous Social Scientists and Related Workers,
Broad,19-4010,Agricultural and Food Science Technicians,
Broad,19-4020,Biological Technicians,
Broad,19-4030,Chemical Technicians,
Broad,19-4040,Environmental Science and Geoscience Technicians,
Broad,19-4050,Nuclear Technicians,
Broad,19-4060,Social Science Research Assistants,
Broad,19-4070,Forest and Conservation Technicians,
Broad,19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",
Broad,19-5010,Occupational Health and Safety Specialists and Technicians,
Broad,21-1010,Counselors,
Broad,21-1020,Social Workers,
Broad,21-1090,Miscellaneous Community and Social Service Specialists,
Broad,21-2010,Clergy,
Broad,21-2020,"Directors, Religious Activities and Education",
Broad,21-2090,Miscellaneous Religious Workers,
Broad,23-1010,Lawyers and Judicial Law Clerks,
Broad,23-1020,"Judges, Magistrates, and Other Judicial Workers",
Broad,23-2010,Paralegals and Legal Assistants,
Broad,23-2090,Miscellaneous Legal Support Workers,
Broad,25-1010,"Business Teachers, Postsecondary",
Broad,25-1020,"Math and Computer Science Teachers, Postsecondary",
Broad,25-1030,"Engineering and Architecture Teachers, Postsecondary",
Broad,25-1040,"Life Sciences Teachers, Postsecondary",
Broad,25-1050,"Physical Sciences Teachers, Postsecondary",
Broad,25-1060,"Social Sciences Teachers, Postsecondary",
Broad,25-1070,"Health Teachers, Postsecondary",
Broad,25-1080,"Education and Library Science Teachers, Postsecondary",
Broad,25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",
Broad,25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",
Broad,25-1190,Miscellaneous Postsecondary Teachers,
Broad,25-2010,Preschool and Kindergarten Teachers,
Broad,25-2020,Elementary and Middle School Teachers,
Broad,25-2030,Secondary School Teachers,
Broad,25-2050,Special Education Teachers,
Broad,25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",
Broad,25-3020,Self-Enrichment Teachers,
Broad,25-3030,"Substitute Teachers, Short-Term",
Broad,25-3040,Tutors,
Broad,25-3090,Miscellaneous Teachers and Instructors,
Broad,25-4010,"Archivists, Curators, and Museum Technicians",
Broad,25-4020,Librarians and Media Collections Specialists,
Broad,25-4030,Library Technicians,
Broad,25-9020,Farm and Home Management Educators,
Broad,25-9030,Instructional Coordinators,
Broad,25-9040,Teaching Assistants,
Broad,25-9090,Miscellaneous Educational Instruction and Library Workers,
Broad,27-1010,Artists and Related Workers,
Broad,27-1020,Designers,
Broad,27-2010,"Actors, Producers, and Directors",
Broad,27-2020,"Athletes, Coaches, Umpires, and Related Workers",
Broad,27-2030,Dancers and Choreographers,
Broad,27-2040,"Musicians, Singers, and Related Workers",
Broad,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",
Broad,27-3010,Broadcast Announcers and Radio Disc Jockeys,
Broad,27-3020,"News Analysts, Reporters and Journalists",
Broad,27-3030,Public Relations Specialists,
Broad,27-3040,Writers and Editors,
Broad,27-3090,Miscellaneous Media and Communication Workers,
Broad,27-4010,"Broadcast, Sound, and Lighting Technicians",
Broad,27-4020,Photographers,
Broad,27-4030,"Television, Video, and Film Camera Operators and Editors",
Broad,27-4090,Miscellaneous Media and Communication Equipment Workers,
Broad,29-1010,Chiropractors,
Broad,29-1020,Dentists,
Broad,29-1030,Dietitians and Nutritionists,
Broad,29-1040,Optometrists,
Broad,29-1050,Pharmacists,
Broad,29-1070,Physician Assistants,
Broad,29-1080,Podiatrists,
Broad,29-1120,Therapists,
Broad,29-1130,Veterinarians,
Broad,29-1140,Registered Nurses,
Broad,29-1150,Nurse Anesthetists,
Broad,29-1160,Nurse Midwives,
Broad,29-1170,Nurse Practitioners,
Broad,29-1180,Audiologists,
Broad,29-1210,Physicians,
Broad,29-1240,Surgeons,
Broad,29-1290,Miscellaneous Healthcare Diagnosing or Treating Practitioners,
Broad,29-2010,Clinical Laboratory Technologists and Technicians,
Broad,29-2030,Diagnostic Related Technologists and Technicians,
Broad,29-2040,Emergency Medical Technicians and Paramedics,
Broad,29-2050,Health Practitioner Support Technologists and Technicians,
Broad,29-2060,Licensed Practical and Licensed Vocational Nurses,
Broad,29-2070,Medical Records Specialists,
Broad,29-2080,"Opticians, Dispensing",
Broad,29-2090,Miscellaneous Health Technologists and Technicians,
Broad,29-9020,Health Information Technologists and Medical Registrars,
Broad,29-9090,Miscellaneous Health Practitioners and Technical Workers,
Broad,31-1120,Home Health and Personal Care Aides,
Broad,31-1130,"Nursing Assistants, Orderlies, and Psychiatric Aides",
Broad,31-2010,Occupational Therapy Assistants and Aides,
Broad,31-2020,Physical Therapist Assistants and Aides,
Broad,31-9010,Massage Therapists,
Broad,31-9090,Miscellaneous Healthcare Support Occupations,
Broad,33-1010,First-Line Supervisors of Law Enforcement Workers,
Broad,33-1020,First-Line Supervisors of Firefighting and Prevention Workers,
Broad,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",
Broad,33-2010,Firefighters,
Broad,33-2020,Fire Inspectors,
Broad,33-3010,"Bailiffs, Correctional Officers, and Jailers",
Broad,33-3020,Detectives and Criminal Investigators,
Broad,33-3030,Fish and Game Wardens,
Broad,33-3040,Parking Enforcement Workers,
Broad,33-3050,Police Officers,
Broad,33-9010,Animal Control Workers,
Broad,33-9020,Private Detectives and Investigators,
Broad,33-9030,Security Guards and Gambling Surveillance Officers,
Broad,33-9090,Miscellaneous Protective Service Workers,
Broad,35-1010,Supervisors of Food Preparation and Serving Workers,
Broad,35-2010,Cooks,
Broad,35-2020,Food Preparation Workers,
Broad,35-3010,Bartenders,
Broad,35-3020,Fast Food and Counter Workers,
Broad,35-3030,Waiters and Waitresses,
Broad,35-3040,"Food Servers, Nonrestaurant",
Broad,35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,
Broad,35-9020,Dishwashers,
Broad,35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",
Broad,35-9090,Miscellaneous Food Preparation and Serving Related Workers,
Broad,37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,
Broad,37-2010,Building Cleaning Workers,
Broad,37-2020,Pest Control Workers,
Broad,37-3010,Grounds Maintenance Workers,
Broad,39-1010,First-Line Supervisors of Entertainment and Recreation Workers,
Broad,39-1020,First-Line Supervisors of Personal Service Workers,
Broad,39-2010,Animal Trainers,
Broad,39-2020,Animal Caretakers,
Broad,39-3010,Gambling Services Workers,
Broad,39-3020,Motion Picture Projectionists,
Broad,39-3030,"Ushers, Lobby Attendants, and Ticket Takers",
Broad,39-3090,Miscellaneous Entertainment Attendants and Related Workers,
Broad,39-4010,Embalmers and Crematory Operators,
Broad,39-4020,Funeral Attendants,
Broad,39-4030,"Morticians, Undertakers, and Funeral Arrangers",
Broad,39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",
Broad,39-5090,Miscellaneous Personal Appearance Workers,
Broad,39-6010,"Baggage Porters, Bellhops, and Concierges",
Broad,39-7010,Tour and Travel Guides,
Broad,39-9010,Childcare Workers,
Broad,39-9030,Recreation and Fitness Workers,
Broad,39-9040,Residential Advisors,
Broad,39-9090,Miscellaneous Personal Care and Service Workers,
Broad,41-1010,First-Line Supervisors of Sales Workers,
Broad,41-2010,Cashiers,
Broad,41-2020,Counter and Rental Clerks and Parts Salespersons,
Broad,41-2030,Retail Salespersons,
Broad,41-3010,Advertising Sales Agents,
Broad,41-3020,Insurance Sales Agents,
Broad,41-3030,"Securities, Commodities, and Financial Services Sales Agents",
Broad,41-3040,Travel Agents,
Broad,41-3090,"Miscellaneous Sales Representatives, Services",
Broad,41-4010,"Sales Representatives, Wholesale and Manufacturing",
Broad,41-9010,"Models, Demonstrators, and Product Promoters",
Broad,41-9020,Real Estate Brokers and Sales Agents,
Broad,41-9030,Sales Engineers,
Broad,41-9040,Telemarketers,
Broad,41-9090,Miscellaneous Sales and Related Workers,
Broad,43-1010,First-Line Supervisors of Office and Administrative Support Workers,
Broad,43-2010,"Switchboard Operators, Including Answering Service",
Broad,43-2020,Telephone Operators,
Broad,43-2090,Miscellaneous Communications Equipment Operators,
Broad,43-3010,Bill and Account Collectors,
Broad,43-3020,Billing and Posting Clerks,
Broad,43-3030,"Bookkeeping, Accounting, and Auditing Clerks",
Broad,43-3040,Gambling Cage Workers,
Broad,43-3050,Payroll and Timekeeping Clerks,
Broad,43-3060,Procurement Clerks,
Broad,43-3070,Tellers,
Broad,43-3090,Miscellaneous Financial Clerks,
Broad,43-4010,Brokerage Clerks,
Broad,43-4020,Correspondence Clerks,
Broad,43-4030,"Court, Municipal, and License Clerks",
Broad,43-4040,"Credit Authorizers, Checkers, and Clerks",
Broad,43-4050,Customer Service Representatives,
Broad,43-4060,"Eligibility Interviewers, Government Programs",
Broad,43-4070,File Clerks,
Broad,43-4080,"Hotel, Motel, and Resort Desk Clerks",
Broad,43-4110,"Interviewers, Except Eligibility and Loan",
Broad,43-4120,"Library Assistants, Clerical",
Broad,43-4130,Loan Interviewers and Clerks,
Broad,43-4140,New Accounts Clerks,
Broad,43-4150,Order Clerks,
Broad,43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",
Broad,43-4170,Receptionists and Information Clerks,
Broad,43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,
Broad,43-4190,Miscellaneous Information and Record Clerks,
Broad,43-5010,Cargo and Freight Agents,
Broad,43-5020,Couriers and Messengers,
Broad,43-5030,Dispatchers,
Broad,43-5040,"Meter Readers, Utilities",
Broad,43-5050,Postal Service Workers,
Broad,43-5060,"Production, Planning, and Expediting Clerks",
Broad,43-5070,"Shipping, Receiving, and Inventory Clerks",
Broad,43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",
Broad,43-6010,Secretaries and Administrative Assistants,
Broad,43-9020,Data Entry and Information Processing Workers,
Broad,43-9030,Desktop Publishers,
Broad,43-9040,Insurance Claims and Policy Processing Clerks,
Broad,43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",
Broad,43-9060,"Office Clerks, General",
Broad,43-9070,"Office Machine Operators, Except Computer",
Broad,43-9080,Proofreaders and Copy Markers,
Broad,43-9110,Statistical Assistants,
Broad,43-9190,Miscellaneous Office and Administrative Support Workers,
Broad,45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",
Broad,45-2010,Agricultural Inspectors,
Broad,45-2020,Animal Breeders,
Broad,45-2040,"Graders and Sorters, Agricultural Products",
Broad,45-2090,Miscellaneous Agricultural Workers,
Broad,45-3030,Fishing and Hunting Workers,
Broad,45-4010,Forest and Conservation Workers,
Broad,45-4020,Logging Workers,
Broad,47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,
Broad,47-2010,Boilermakers,
Broad,47-2020,"Brickmasons, Blockmasons, and Stonemasons",
Broad,47-2030,Carpenters,
Broad,47-2040,"Carpet, Floor, and Tile Installers and Finishers",
Broad,47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",
Broad,47-2060,Construction Laborers,
Broad,47-2070,Construction Equipment Operators,
Broad,47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",
Broad,47-2110,Electricians,
Broad,47-2120,Glaziers,
Broad,47-2130,Insulation Workers,
Broad,47-2140,Painters and Paperhangers,
Broad,47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",
Broad,47-2160,Plasterers and Stucco Masons,
Broad,47-2170,Reinforcing Iron and Rebar Workers,
Broad,47-2180,Roofers,
Broad,47-2210,Sheet Metal Workers,
Broad,47-2220,Structural Iron and Steel Workers,
Broad,47-2230,Solar Photovoltaic Installers,
Broad,47-3010,"Helpers, Construction Trades",
Broad,47-4010,Construction and Building Inspectors,
Broad,47-4020,Elevator and Escalator Installers and Repairers,
Broad,47-4030,Fence Erectors,
Broad,47-4040,Hazardous Materials Removal Workers,
Broad,47-4050,Highway Maintenance Workers,
Broad,47-4060,Rail-Track Laying and Maintenance Equipment Operators,
Broad,47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,
Broad,47-4090,Miscellaneous Construction and Related Workers,
Broad,47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",
Broad,47-5020,Surface Mining Machine Operators and Earth Drillers,
Broad,47-5030,"Explosives Workers, Ordnance Handling Experts, and Blasters",
Broad,47-5040,Underground Mining Machine Operators,
Broad,47-5050,"Rock Splitters, Quarry",
Broad,47-5070,"Roustabouts, Oil and Gas",
Broad,47-5080,Helpers--Extraction Workers,
Broad,47-5090,Miscellaneous Extraction Workers,
Broad,49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",
Broad,49-2010,"Computer, Automated Teller, and Office Machine Repairers",
Broad,49-2020,Radio and Telecommunications Equipment Installers and Repairers,
Broad,49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",
Broad,49-3010,Aircraft Mechanics and Service Technicians,
Broad,49-3020,Automotive Technicians and Repairers,
Broad,49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,
Broad,49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,
Broad,49-3050,Small Engine Mechanics,
Broad,49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",
Broad,49-9010,Control and Valve Installers and Repairers,
Broad,49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",
Broad,49-9030,Home Appliance Repairers,
Broad,49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",
Broad,49-9050,Line Installers and Repairers,
Broad,49-9060,Precision Instrument and Equipment Repairers,
Broad,49-9070,"Maintenance and Repair Workers, General",
Broad,49-9080,Wind Turbine Service Technicians,
Broad,49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",
Broad,51-1010,First-Line Supervisors of Production and Operating Workers,
Broad,51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",
Broad,51-2020,"Electrical, Electronics, and Electromechanical Assemblers",
Broad,51-2030,Engine and Other Machine Assemblers,
Broad,51-2040,Structural Metal Fabricators and Fitters,
Broad,51-2050,Fiberglass Laminators and Fabricators,
Broad,51-2060,Timing Device Assemblers and Adjusters,
Broad,51-2090,Miscellaneous Assemblers and Fabricators,
Broad,51-3010,Bakers,
Broad,51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",
Broad,51-3090,Miscellaneous Food Processing Workers,
Broad,51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",
Broad,51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",
Broad,51-4040,Machinists,
Broad,51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",
Broad,51-4060,"Model Makers and Patternmakers, Metal and Plastic",
Broad,51-4070,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",
Broad,51-4080,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",
Broad,51-4110,Tool and Die Makers,
Broad,51-4120,"Welding, Soldering, and Brazing Workers",
Broad,51-4190,Miscellaneous Metal Workers and Plastic Workers,
Broad,51-5110,Printing Workers,
Broad,51-6010,Laundry and Dry-Cleaning Workers,
Broad,51-6020,"Pressers, Textile, Garment, and Related Materials",
Broad,51-6030,Sewing Machine Operators,
Broad,51-6040,Shoe and Leather Workers,
Broad,51-6050,"Tailors, Dressmakers, and Sewers",
Broad,51-6060,"Textile Machine Setters, Operators, and Tenders",
Broad,51-6090,"Miscellaneous Textile, Apparel, and Furnishings Workers",
Broad,51-7010,Cabinetmakers and Bench Carpenters,
Broad,51-7020,Furniture Finishers,
Broad,51-7030,"Model Makers and Patternmakers, Wood",
Broad,51-7040,"Woodworking Machine Setters, Operators, and Tenders",
Broad,51-7090,Miscellaneous Woodworkers,
Broad,51-8010,"Power Plant Operators, Distributors, and Dispatchers",
Broad,51-8020,Stationary Engineers and Boiler Operators,
Broad,51-8030,Water and Wastewater Treatment Plant and System Operators,
Broad,51-8090,Miscellaneous Plant and System Operators,
Broad,51-9010,"Chemical Processing Machine Setters, Operators, and Tenders",
Broad,51-9020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers",
Broad,51-9030,Cutting Workers,
Broad,51-9040,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",
